year,sex,level_of_school,length_of_service,no_of_teachers
2008,F,SECONDARY,10 - 14 YEARS,1151
2008,MF,PRE-UNIVERSITY,10 - 14 YEARS,346
2008,F,PRE-UNIVERSITY,10 - 14 YEARS,178
2008,MF,PRIMARY,15 - 19 YEARS,1092
2008,F,PRIMARY,15 - 19 YEARS,981
2008,MF,SECONDARY,15 - 19 YEARS,696
2008,F,SECONDARY,15 - 19 YEARS,512
2008,MF,PRE-UNIVERSITY,15 - 19 YEARS,144
2008,F,PRE-UNIVERSITY,15 - 19 YEARS,81
2008,MF,PRIMARY,20 - 24 YEARS,509
2008,F,PRIMARY,20 - 24 YEARS,459
2008,MF,SECONDARY,20 - 24 YEARS,634
2008,F,SECONDARY,20 - 24 YEARS,496
2008,MF,PRE-UNIVERSITY,20 - 24 YEARS,185
2008,F,PRE-UNIVERSITY,20 - 24 YEARS,118
2008,MF,PRIMARY,25 - 29 YEARS,685
2008,F,PRIMARY,25 - 29 YEARS,624
2008,MF,SECONDARY,25 - 29 YEARS,888
2008,F,SECONDARY,25 - 29 YEARS,690
2008,MF,PRE-UNIVERSITY,25 - 29 YEARS,182
2008,F,PRE-UNIVERSITY,25 - 29 YEARS,139
2008,MF,PRIMARY,30 YEARS & ABOVE,739
2008,F,PRIMARY,30 YEARS & ABOVE,631
2008,MF,SECONDARY,30 YEARS & ABOVE,571
2008,F,SECONDARY,30 YEARS & ABOVE,407
2008,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,114
2008,F,PRE-UNIVERSITY,30 YEARS & ABOVE,73
2009,MF,PRIMARY,0 - 4 YEARS,4425
2009,F,PRIMARY,0 - 4 YEARS,3426
2009,MF,SECONDARY,0 - 4 YEARS,5163
2009,F,SECONDARY,0 - 4 YEARS,3250
2009,MF,PRE-UNIVERSITY,0 - 4 YEARS,1101
2009,F,PRE-UNIVERSITY,0 - 4 YEARS,626
2009,MF,PRIMARY,5 - 9 YEARS,4204
2009,F,PRIMARY,5 - 9 YEARS,3406
2009,MF,SECONDARY,5 - 9 YEARS,3254
2009,F,SECONDARY,5 - 9 YEARS,2099
2009,MF,PRE-UNIVERSITY,5 - 9 YEARS,646
2009,F,PRE-UNIVERSITY,5 - 9 YEARS,348
2009,MF,PRIMARY,10 - 14 YEARS,2195
2009,F,PRIMARY,10 - 14 YEARS,1854
2009,MF,SECONDARY,10 - 14 YEARS,1932
2009,F,SECONDARY,10 - 14 YEARS,1237
2009,MF,PRE-UNIVERSITY,10 - 14 YEARS,400
2009,F,PRE-UNIVERSITY,10 - 14 YEARS,212
2009,MF,PRIMARY,15 - 19 YEARS,1216
2009,F,PRIMARY,15 - 19 YEARS,1075
2009,MF,SECONDARY,15 - 19 YEARS,857
2009,F,SECONDARY,15 - 19 YEARS,636
2009,MF,PRE-UNIVERSITY,15 - 19 YEARS,181
2009,F,PRE-UNIVERSITY,15 - 19 YEARS,108
2009,MF,PRIMARY,20 - 24 YEARS,457
2009,F,PRIMARY,20 - 24 YEARS,412
2009,MF,SECONDARY,20 - 24 YEARS,572
2009,F,SECONDARY,20 - 24 YEARS,447
2009,MF,PRE-UNIVERSITY,20 - 24 YEARS,172
2009,F,PRE-UNIVERSITY,20 - 24 YEARS,104
2009,MF,PRIMARY,25 - 29 YEARS,721
2009,F,PRIMARY,25 - 29 YEARS,659
2009,MF,SECONDARY,25 - 29 YEARS,816
2009,F,SECONDARY,25 - 29 YEARS,623
2009,MF,PRE-UNIVERSITY,25 - 29 YEARS,173
2009,F,PRE-UNIVERSITY,25 - 29 YEARS,135
2009,MF,PRIMARY,30 YEARS & ABOVE,646
2009,F,PRIMARY,30 YEARS & ABOVE,573
2009,MF,SECONDARY,30 YEARS & ABOVE,620
2009,F,SECONDARY,30 YEARS & ABOVE,457
2009,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,124
2009,F,PRE-UNIVERSITY,30 YEARS & ABOVE,86
2010,MF,PRIMARY,0 - 4 YEARS,4317
2010,F,PRIMARY,0 - 4 YEARS,3339
2010,MF,SECONDARY,0 - 4 YEARS,5107
2010,F,SECONDARY,0 - 4 YEARS,3280
2010,MF,PRE-UNIVERSITY,0 - 4 YEARS,1052
2010,F,PRE-UNIVERSITY,0 - 4 YEARS,590
2010,MF,PRIMARY,5 - 9 YEARS,3833
2010,F,PRIMARY,5 - 9 YEARS,3084
2010,MF,SECONDARY,5 - 9 YEARS,3212
2010,F,SECONDARY,5 - 9 YEARS,2044
2010,MF,PRE-UNIVERSITY,5 - 9 YEARS,743
2010,F,PRE-UNIVERSITY,5 - 9 YEARS,419
2010,MF,PRIMARY,10 - 14 YEARS,2516
2010,F,PRIMARY,10 - 14 YEARS,2095
2010,MF,SECONDARY,10 - 14 YEARS,2094
2010,F,SECONDARY,10 - 14 YEARS,1265
2010,MF,PRE-UNIVERSITY,10 - 14 YEARS,399
2010,F,PRE-UNIVERSITY,10 - 14 YEARS,199
2010,MF,PRIMARY,15 - 19 YEARS,1264
2010,F,PRIMARY,15 - 19 YEARS,1105
2010,MF,SECONDARY,15 - 19 YEARS,960
2010,F,SECONDARY,15 - 19 YEARS,688
2010,MF,PRE-UNIVERSITY,15 - 19 YEARS,184
2010,F,PRE-UNIVERSITY,15 - 19 YEARS,98
2010,MF,PRIMARY,20 - 24 YEARS,514
2010,F,PRIMARY,20 - 24 YEARS,467
2010,MF,SECONDARY,20 - 24 YEARS,595
2010,F,SECONDARY,20 - 24 YEARS,460
2010,MF,PRE-UNIVERSITY,20 - 24 YEARS,165
2010,F,PRE-UNIVERSITY,20 - 24 YEARS,99
2010,MF,PRIMARY,25 - 29 YEARS,719
2010,F,PRIMARY,25 - 29 YEARS,655
2010,MF,SECONDARY,25 - 29 YEARS,778
2010,F,SECONDARY,25 - 29 YEARS,587
2010,MF,PRE-UNIVERSITY,25 - 29 YEARS,174
2010,F,PRE-UNIVERSITY,25 - 29 YEARS,136
2010,MF,PRIMARY,30 YEARS & ABOVE,530
2010,F,PRIMARY,30 YEARS & ABOVE,486
2010,MF,SECONDARY,30 YEARS & ABOVE,586
2010,F,SECONDARY,30 YEARS & ABOVE,448
2010,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,120
2010,F,PRE-UNIVERSITY,30 YEARS & ABOVE,86
2011,MF,PRIMARY,0 - 4 YEARS,3808
2011,F,PRIMARY,0 - 4 YEARS,2824
2011,MF,SECONDARY,0 - 4 YEARS,5131
2011,F,SECONDARY,0 - 4 YEARS,3194
2011,MF,PRE-UNIVERSITY,0 - 4 YEARS,1024
2011,F,PRE-UNIVERSITY,0 - 4 YEARS,580
2011,MF,PRIMARY,5 - 9 YEARS,4261
2011,F,PRIMARY,5 - 9 YEARS,3508
2011,MF,SECONDARY,5 - 9 YEARS,3823
2011,F,SECONDARY,5 - 9 YEARS,2502
2011,MF,PRE-UNIVERSITY,5 - 9 YEARS,795
2011,F,PRE-UNIVERSITY,5 - 9 YEARS,454
2011,MF,PRIMARY,10 - 14 YEARS,2666
2011,F,PRIMARY,10 - 14 YEARS,2191
2011,MF,SECONDARY,10 - 14 YEARS,2074
2011,F,SECONDARY,10 - 14 YEARS,1253
2011,MF,PRE-UNIVERSITY,10 - 14 YEARS,396
2011,F,PRE-UNIVERSITY,10 - 14 YEARS,190
2011,MF,PRIMARY,15 - 19 YEARS,1375
2011,F,PRIMARY,15 - 19 YEARS,1191
2011,MF,SECONDARY,15 - 19 YEARS,1063
2011,F,SECONDARY,15 - 19 YEARS,730
2011,MF,PRE-UNIVERSITY,15 - 19 YEARS,196
2011,F,PRE-UNIVERSITY,15 - 19 YEARS,108
2011,MF,PRIMARY,20 - 24 YEARS,666
2011,F,PRIMARY,20 - 24 YEARS,604
2011,MF,SECONDARY,20 - 24 YEARS,573
2011,F,SECONDARY,20 - 24 YEARS,432
2011,MF,PRE-UNIVERSITY,20 - 24 YEARS,156
2011,F,PRE-UNIVERSITY,20 - 24 YEARS,92
2011,MF,PRIMARY,25 - 29 YEARS,447
2011,F,PRIMARY,25 - 29 YEARS,401
2011,MF,SECONDARY,25 - 29 YEARS,671
2011,F,SECONDARY,25 - 29 YEARS,519
2011,MF,PRE-UNIVERSITY,25 - 29 YEARS,164
2011,F,PRE-UNIVERSITY,25 - 29 YEARS,120
2011,MF,PRIMARY,30 YEARS & ABOVE,680
2011,F,PRIMARY,30 YEARS & ABOVE,633
2011,MF,SECONDARY,30 YEARS & ABOVE,708
2011,F,SECONDARY,30 YEARS & ABOVE,543
2011,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,138
2011,F,PRE-UNIVERSITY,30 YEARS & ABOVE,104
2012,MF,PRIMARY,0 - 4 YEARS,4377
2012,F,PRIMARY,0 - 4 YEARS,3411
2012,MF,SECONDARY,0 - 4 YEARS,5504
2012,F,SECONDARY,0 - 4 YEARS,3565
2012,MF,PRE-UNIVERSITY,0 - 4 YEARS,1031
2012,F,PRE-UNIVERSITY,0 - 4 YEARS,590
2012,MF,PRIMARY,5 - 9 YEARS,3666
2012,F,PRIMARY,5 - 9 YEARS,2912
2012,MF,SECONDARY,5 - 9 YEARS,3688
2012,F,SECONDARY,5 - 9 YEARS,2296
2012,MF,PRE-UNIVERSITY,5 - 9 YEARS,814
2012,F,PRE-UNIVERSITY,5 - 9 YEARS,469
2012,MF,PRIMARY,10 - 14 YEARS,2972
2012,F,PRIMARY,10 - 14 YEARS,2433
2012,MF,SECONDARY,10 - 14 YEARS,2142
2012,F,SECONDARY,10 - 14 YEARS,1281
2012,MF,PRE-UNIVERSITY,10 - 14 YEARS,404
2012,F,PRE-UNIVERSITY,10 - 14 YEARS,206
2012,MF,PRIMARY,15 - 19 YEARS,1365
2012,F,PRIMARY,15 - 19 YEARS,1179
2012,MF,SECONDARY,15 - 19 YEARS,1336
2012,F,SECONDARY,15 - 19 YEARS,896
2012,MF,PRE-UNIVERSITY,15 - 19 YEARS,230
2012,F,PRE-UNIVERSITY,15 - 19 YEARS,128
2012,MF,PRIMARY,20 - 24 YEARS,853
2012,F,PRIMARY,20 - 24 YEARS,770
2012,MF,SECONDARY,20 - 24 YEARS,574
2012,F,SECONDARY,20 - 24 YEARS,424
2012,MF,PRE-UNIVERSITY,20 - 24 YEARS,140
2012,F,PRE-UNIVERSITY,20 - 24 YEARS,81
2012,MF,PRIMARY,25 - 29 YEARS,366
2012,F,PRIMARY,25 - 29 YEARS,322
2012,MF,SECONDARY,25 - 29 YEARS,579
2012,F,SECONDARY,25 - 29 YEARS,441
2012,MF,PRE-UNIVERSITY,25 - 29 YEARS,154
2012,F,PRE-UNIVERSITY,25 - 29 YEARS,112
2012,MF,PRIMARY,30 YEARS & ABOVE,710
2012,F,PRIMARY,30 YEARS & ABOVE,662
2012,MF,SECONDARY,30 YEARS & ABOVE,751
2012,F,SECONDARY,30 YEARS & ABOVE,593
2012,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,135
2012,F,PRE-UNIVERSITY,30 YEARS & ABOVE,106
2013,MF,PRIMARY,0 - 4 YEARS,4562
2013,F,PRIMARY,0 - 4 YEARS,3542
2013,MF,SECONDARY,0 - 4 YEARS,5559
2013,F,SECONDARY,0 - 4 YEARS,3555
2013,MF,PRE-UNIVERSITY,0 - 4 YEARS,1056
2013,F,PRE-UNIVERSITY,0 - 4 YEARS,610
2013,MF,PRIMARY,5 - 9 YEARS,3474
2013,F,PRIMARY,5 - 9 YEARS,2755
2013,MF,SECONDARY,5 - 9 YEARS,3586
2013,F,SECONDARY,5 - 9 YEARS,2235
2013,MF,PRE-UNIVERSITY,5 - 9 YEARS,826
2013,F,PRE-UNIVERSITY,5 - 9 YEARS,467
2013,MF,PRIMARY,10 - 14 YEARS,3278
2013,F,PRIMARY,10 - 14 YEARS,2663
2013,MF,SECONDARY,10 - 14 YEARS,2459
2013,F,SECONDARY,10 - 14 YEARS,1514
2013,MF,PRE-UNIVERSITY,10 - 14 YEARS,420
2013,F,PRE-UNIVERSITY,10 - 14 YEARS,220
2013,MF,PRIMARY,15 - 19 YEARS,1392
2013,F,PRIMARY,15 - 19 YEARS,1197
2013,MF,SECONDARY,15 - 19 YEARS,1477
2013,F,SECONDARY,15 - 19 YEARS,957
2013,MF,PRE-UNIVERSITY,15 - 19 YEARS,281
2013,F,PRE-UNIVERSITY,15 - 19 YEARS,158
2013,MF,PRIMARY,20 - 24 YEARS,968
2013,F,PRIMARY,20 - 24 YEARS,869
2013,MF,SECONDARY,20 - 24 YEARS,608
2013,F,SECONDARY,20 - 24 YEARS,434
2013,MF,PRE-UNIVERSITY,20 - 24 YEARS,114
2013,F,PRE-UNIVERSITY,20 - 24 YEARS,62
2013,MF,PRIMARY,25 - 29 YEARS,456
2013,F,PRIMARY,25 - 29 YEARS,411
2013,MF,SECONDARY,25 - 29 YEARS,573
2013,F,SECONDARY,25 - 29 YEARS,447
2013,MF,PRE-UNIVERSITY,25 - 29 YEARS,148
2013,F,PRE-UNIVERSITY,25 - 29 YEARS,90
2013,MF,PRIMARY,30 YEARS & ABOVE,658
2013,F,PRIMARY,30 YEARS & ABOVE,609
2013,MF,SECONDARY,30 YEARS & ABOVE,731
2013,F,SECONDARY,30 YEARS & ABOVE,589
2013,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,153
2013,F,PRE-UNIVERSITY,30 YEARS & ABOVE,125
2014,MF,PRIMARY,0 - 4 YEARS,4007
2014,F,PRIMARY,0 - 4 YEARS,3131
2014,MF,SECONDARY,0 - 4 YEARS,5398
2014,F,SECONDARY,0 - 4 YEARS,3421
2014,MF,PRE-UNIVERSITY,0 - 4 YEARS,1031
2014,F,PRE-UNIVERSITY,0 - 4 YEARS,591
2014,MF,PRIMARY,5 - 9 YEARS,3421
2014,F,PRIMARY,5 - 9 YEARS,2678
2014,MF,SECONDARY,5 - 9 YEARS,3665
2014,F,SECONDARY,5 - 9 YEARS,2269
2014,MF,PRE-UNIVERSITY,5 - 9 YEARS,762
2014,F,PRE-UNIVERSITY,5 - 9 YEARS,437
2014,MF,PRIMARY,10 - 14 YEARS,3316
2014,F,PRIMARY,10 - 14 YEARS,2690
2014,MF,SECONDARY,10 - 14 YEARS,2566
2014,F,SECONDARY,10 - 14 YEARS,1619
2014,MF,PRE-UNIVERSITY,10 - 14 YEARS,475
2014,F,PRE-UNIVERSITY,10 - 14 YEARS,259
2014,MF,PRIMARY,15 - 19 YEARS,1778
2014,F,PRIMARY,15 - 19 YEARS,1507
2014,MF,SECONDARY,15 - 19 YEARS,1591
2014,F,SECONDARY,15 - 19 YEARS,985
2014,MF,PRE-UNIVERSITY,15 - 19 YEARS,293
2014,F,PRE-UNIVERSITY,15 - 19 YEARS,156
2014,MF,PRIMARY,20 - 24 YEARS,1040
2014,F,PRIMARY,20 - 24 YEARS,917
2014,MF,SECONDARY,20 - 24 YEARS,735
2014,F,SECONDARY,20 - 24 YEARS,537
2014,MF,PRE-UNIVERSITY,20 - 24 YEARS,150
2014,F,PRE-UNIVERSITY,20 - 24 YEARS,87
2014,MF,PRIMARY,25 - 29 YEARS,412
2014,F,PRIMARY,25 - 29 YEARS,369
2014,MF,SECONDARY,25 - 29 YEARS,505
2014,F,SECONDARY,25 - 29 YEARS,392
2014,MF,PRE-UNIVERSITY,25 - 29 YEARS,133
2014,F,PRE-UNIVERSITY,25 - 29 YEARS,76
2014,MF,PRIMARY,30 YEARS & ABOVE,709
2014,F,PRIMARY,30 YEARS & ABOVE,658
2014,MF,SECONDARY,30 YEARS & ABOVE,748
2014,F,SECONDARY,30 YEARS & ABOVE,599
2014,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,163
2014,F,PRE-UNIVERSITY,30 YEARS & ABOVE,133
2015,MF,PRIMARY,0 - 4 YEARS,3867
2015,F,PRIMARY,0 - 4 YEARS,3030
2015,MF,SECONDARY,0 - 4 YEARS,4744
2015,F,SECONDARY,0 - 4 YEARS,2982
2015,MF,PRE-UNIVERSITY,0 - 4 YEARS,880
2015,F,PRE-UNIVERSITY,0 - 4 YEARS,495
2015,MF,PRIMARY,5 - 9 YEARS,3522
2015,F,PRIMARY,5 - 9 YEARS,2742
2015,MF,SECONDARY,5 - 9 YEARS,4016
2015,F,SECONDARY,5 - 9 YEARS,2538
2015,MF,PRE-UNIVERSITY,5 - 9 YEARS,743
2015,F,PRE-UNIVERSITY,5 - 9 YEARS,424
2015,MF,PRIMARY,10 - 14 YEARS,3167
2015,F,PRIMARY,10 - 14 YEARS,2565
2015,MF,SECONDARY,10 - 14 YEARS,2655
2015,F,SECONDARY,10 - 14 YEARS,1678
2015,MF,PRE-UNIVERSITY,10 - 14 YEARS,581
2015,F,PRE-UNIVERSITY,10 - 14 YEARS,323
2015,MF,PRIMARY,15 - 19 YEARS,2129
2015,F,PRIMARY,15 - 19 YEARS,1776
2015,MF,SECONDARY,15 - 19 YEARS,1746
2015,F,SECONDARY,15 - 19 YEARS,1032
2015,MF,PRE-UNIVERSITY,15 - 19 YEARS,325
2015,F,PRE-UNIVERSITY,15 - 19 YEARS,169
2015,MF,PRIMARY,20 - 24 YEARS,1110
2015,F,PRIMARY,20 - 24 YEARS,975
2015,MF,SECONDARY,20 - 24 YEARS,808
2015,F,SECONDARY,20 - 24 YEARS,571
2015,MF,PRE-UNIVERSITY,20 - 24 YEARS,162
2015,F,PRE-UNIVERSITY,20 - 24 YEARS,85
2015,MF,PRIMARY,25 - 29 YEARS,460
2015,F,PRIMARY,25 - 29 YEARS,413
2015,MF,SECONDARY,25 - 29 YEARS,513
2015,F,SECONDARY,25 - 29 YEARS,394
2015,MF,PRE-UNIVERSITY,25 - 29 YEARS,136
2015,F,PRE-UNIVERSITY,25 - 29 YEARS,77
2015,MF,PRIMARY,30 YEARS & ABOVE,659
2015,F,PRIMARY,30 YEARS & ABOVE,613
2015,MF,SECONDARY,30 YEARS & ABOVE,725
2015,F,SECONDARY,30 YEARS & ABOVE,578
2015,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,157
2015,F,PRE-UNIVERSITY,30 YEARS & ABOVE,127
2016,MF,PRIMARY,0 - 4 YEARS,3594
2016,F,PRIMARY,0 - 4 YEARS,2835
2016,MF,SECONDARY,0 - 4 YEARS,4185
2016,F,SECONDARY,0 - 4 YEARS,2608
2016,MF,PRE-UNIVERSITY,0 - 4 YEARS,753
2016,F,PRE-UNIVERSITY,0 - 4 YEARS,438
2016,MF,PRIMARY,5 - 9 YEARS,3677
2016,F,PRIMARY,5 - 9 YEARS,2824
2016,MF,SECONDARY,5 - 9 YEARS,4093
2016,F,SECONDARY,5 - 9 YEARS,2594
2016,MF,PRE-UNIVERSITY,5 - 9 YEARS,742
2016,F,PRE-UNIVERSITY,5 - 9 YEARS,414
2016,MF,PRIMARY,10 - 14 YEARS,3219
2016,F,PRIMARY,10 - 14 YEARS,2604
2016,MF,SECONDARY,10 - 14 YEARS,2932
2016,F,SECONDARY,10 - 14 YEARS,1850
2016,MF,PRE-UNIVERSITY,10 - 14 YEARS,634
2016,F,PRE-UNIVERSITY,10 - 14 YEARS,363
2016,MF,PRIMARY,15 - 19 YEARS,2376
2016,F,PRIMARY,15 - 19 YEARS,1942
2016,MF,SECONDARY,15 - 19 YEARS,1743
2016,F,SECONDARY,15 - 19 YEARS,1044
2016,MF,PRE-UNIVERSITY,15 - 19 YEARS,326
2016,F,PRE-UNIVERSITY,15 - 19 YEARS,154
2016,MF,PRIMARY,20 - 24 YEARS,1254
2016,F,PRIMARY,20 - 24 YEARS,1088
2016,MF,SECONDARY,20 - 24 YEARS,915
2016,F,SECONDARY,20 - 24 YEARS,632
2016,MF,PRE-UNIVERSITY,20 - 24 YEARS,170
2016,F,PRE-UNIVERSITY,20 - 24 YEARS,101
2016,MF,PRIMARY,25 - 29 YEARS,617
2016,F,PRIMARY,25 - 29 YEARS,553
2016,MF,SECONDARY,25 - 29 YEARS,496
2016,F,SECONDARY,25 - 29 YEARS,376
2016,MF,PRE-UNIVERSITY,25 - 29 YEARS,129
2016,F,PRE-UNIVERSITY,25 - 29 YEARS,74
2016,MF,PRIMARY,30 YEARS & ABOVE,620
2016,F,PRIMARY,30 YEARS & ABOVE,571
2016,MF,SECONDARY,30 YEARS & ABOVE,732
2016,F,SECONDARY,30 YEARS & ABOVE,581
2016,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,171
2016,F,PRE-UNIVERSITY,30 YEARS & ABOVE,128
2017,MF,PRIMARY,0 - 4 YEARS,2971
2017,F,PRIMARY,0 - 4 YEARS,2341
2017,MF,SECONDARY,0 - 4 YEARS,3505
2017,F,SECONDARY,0 - 4 YEARS,2164
2017,MF,PRE-UNIVERSITY,0 - 4 YEARS,602
2017,F,PRE-UNIVERSITY,0 - 4 YEARS,343
2017,MF,PRIMARY,5 - 9 YEARS,3827
2017,F,PRIMARY,5 - 9 YEARS,2966
2017,MF,SECONDARY,5 - 9 YEARS,4112
2017,F,SECONDARY,5 - 9 YEARS,2605
2017,MF,PRE-UNIVERSITY,5 - 9 YEARS,762
2017,F,PRE-UNIVERSITY,5 - 9 YEARS,432
2017,MF,PRIMARY,10 - 14 YEARS,3253
2017,F,PRIMARY,10 - 14 YEARS,2585
2017,MF,SECONDARY,10 - 14 YEARS,2967
2017,F,SECONDARY,10 - 14 YEARS,1840
2017,MF,PRE-UNIVERSITY,10 - 14 YEARS,649
2017,F,PRE-UNIVERSITY,10 - 14 YEARS,368
2017,MF,PRIMARY,15 - 19 YEARS,2741
2017,F,PRIMARY,15 - 19 YEARS,2234
2017,MF,SECONDARY,15 - 19 YEARS,1814
2017,F,SECONDARY,15 - 19 YEARS,1092
2017,MF,PRE-UNIVERSITY,15 - 19 YEARS,346
2017,F,PRE-UNIVERSITY,15 - 19 YEARS,176
2017,MF,PRIMARY,20 - 24 YEARS,1285
2017,F,PRIMARY,20 - 24 YEARS,1104
2017,MF,SECONDARY,20 - 24 YEARS,1158
2017,F,SECONDARY,20 - 24 YEARS,783
2017,MF,PRE-UNIVERSITY,20 - 24 YEARS,203
2017,F,PRE-UNIVERSITY,20 - 24 YEARS,115
2017,MF,PRIMARY,25 - 29 YEARS,818
2017,F,PRIMARY,25 - 29 YEARS,734
2017,MF,SECONDARY,25 - 29 YEARS,493
2017,F,SECONDARY,25 - 29 YEARS,375
2017,MF,PRE-UNIVERSITY,25 - 29 YEARS,113
2017,F,PRE-UNIVERSITY,25 - 29 YEARS,69
2017,MF,PRIMARY,30 YEARS & ABOVE,642
2017,F,PRIMARY,30 YEARS & ABOVE,587
2017,MF,SECONDARY,30 YEARS & ABOVE,729
2017,F,SECONDARY,30 YEARS & ABOVE,570
2017,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,173
2017,F,PRE-UNIVERSITY,30 YEARS & ABOVE,132
2018,MF,PRIMARY,0 - 4 YEARS,2522
2018,F,PRIMARY,0 - 4 YEARS,2008
2018,MF,PRIMARY,5 - 9 YEARS,3993
2018,F,PRIMARY,5 - 9 YEARS,3071
2018,MF,PRIMARY,10 - 14 YEARS,3165
2018,F,PRIMARY,10 - 14 YEARS,2504
2018,MF,PRIMARY,15 - 19 YEARS,3104
2018,F,PRIMARY,15 - 19 YEARS,2520
2018,MF,PRIMARY,20 - 24 YEARS,1350
2018,F,PRIMARY,20 - 24 YEARS,1145
2018,MF,PRIMARY,25 - 29 YEARS,929
2018,F,PRIMARY,25 - 29 YEARS,835
2018,MF,PRIMARY,30 YEARS & ABOVE,724
2018,F,PRIMARY,30 YEARS & ABOVE,664
2018,MF,SECONDARY,0 - 4 YEARS,2684
2018,F,SECONDARY,0 - 4 YEARS,1668
2018,MF,SECONDARY,5 - 9 YEARS,4100
2018,F,SECONDARY,5 - 9 YEARS,2574
2018,MF,SECONDARY,10 - 14 YEARS,2888
2018,F,SECONDARY,10 - 14 YEARS,1784
2018,MF,SECONDARY,15 - 19 YEARS,2054
2018,F,SECONDARY,15 - 19 YEARS,1273
2018,MF,SECONDARY,20 - 24 YEARS,1261
2018,F,SECONDARY,20 - 24 YEARS,836
2018,MF,SECONDARY,25 - 29 YEARS,515
2018,F,SECONDARY,25 - 29 YEARS,379
2018,MF,SECONDARY,30 YEARS & ABOVE,739
2018,F,SECONDARY,30 YEARS & ABOVE,587
2018,MF,PRE-UNIVERSITY,0 - 4 YEARS,435
2018,F,PRE-UNIVERSITY,0 - 4 YEARS,240
2018,MF,PRE-UNIVERSITY,10 - 14 YEARS,623
2018,F,PRE-UNIVERSITY,10 - 14 YEARS,352
2018,MF,PRE-UNIVERSITY,15 - 19 YEARS,354
2018,F,PRE-UNIVERSITY,15 - 19 YEARS,178
2018,MF,PRE-UNIVERSITY,20 - 24 YEARS,235
2018,F,PRE-UNIVERSITY,20 - 24 YEARS,133
2018,MF,PRE-UNIVERSITY,25 - 29 YEARS,100
2018,F,PRE-UNIVERSITY,25 - 29 YEARS,56
2018,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,173
2018,F,PRE-UNIVERSITY,30 YEARS & ABOVE,126
2018,MF,PRE-UNIVERSITY,5 - 9 YEARS,732
2018,F,PRE-UNIVERSITY,5 - 9 YEARS,420
